region,date,total_deaths
Asia,30/6/2020,26
Asia,31/1/2021,29
Asia,30/6/2021,36
Asia,31/1/2022,854
Asia,30/6/2022,1409
Asia,31/1/2023,1712
Asia,30/6/2023,1872
Asia,31/1/2024,2024
Asia,30/6/2024,2024
Europe,31/1/2020,0
Europe,30/6/2020,28
Europe,31/1/2021,4642
Europe,30/6/2021,12505
Europe,31/1/2022,17817
Europe,30/6/2022,20142
Europe,31/1/2023,20938
Europe,30/6/2023,21167
Europe,31/1/2024,21220
Europe,30/6/2024,21226
Europe,31/1/2020,0
Europe,30/6/2020,114
Europe,31/1/2021,3857
Europe,30/6/2021,4765
Europe,31/1/2022,6464
Europe,30/6/2022,7832
Europe,31/1/2023,9076
Europe,30/6/2023,9422
Europe,31/1/2024,9993
Europe,30/6/2024,10065
Asia,31/1/2020,0
Asia,30/6/2020,282
Asia,31/1/2021,1420
Asia,30/6/2021,2015
Asia,31/1/2022,6755
Asia,30/6/2022,24530
Asia,31/1/2023,32496
Asia,30/6/2023,35017
Asia,31/1/2024,35934
Asia,30/6/2024,35934
Europe,31/1/2020,0
Europe,30/6/2020,29738
Europe,31/1/2021,66379
Europe,30/6/2021,82443
Europe,31/1/2022,97777
Europe,30/6/2022,109937
Europe,31/1/2023,119866
Europe,30/6/2023,121841
Europe,31/1/2024,121852
Europe,30/6/2024,121852
Asia,31/1/2020,0
Asia,30/6/2020,11
Asia,31/1/2021,316
Asia,30/6/2021,2887
Asia,31/1/2022,15420
Asia,30/6/2022,16521
Asia,31/1/2023,16827
Asia,30/6/2023,16877
Asia,31/1/2024,16893
Asia,30/6/2024,16907
Europe,31/1/2020,0
Europe,30/6/2020,5416
Europe,31/1/2021,12190
Europe,30/6/2021,14628
Europe,31/1/2022,16187
Europe,30/6/2022,19129
Europe,31/1/2023,23453
Europe,30/6/2023,24541
Europe,31/1/2024,27065
Europe,30/6/2024,27334
Europe,31/1/2020,0
Europe,30/6/2020,1732
Europe,31/1/2021,9165
Europe,30/6/2021,10379
Europe,31/1/2022,12371
Europe,30/6/2022,13326
Europe,31/1/2023,13931
Europe,30/6/2023,14039
Europe,31/1/2024,14170
Europe,30/6/2024,14170
Asia,31/1/2020,0
Asia,30/6/2020,9
Asia,31/1/2021,916
Asia,30/6/2021,1864
Asia,31/1/2022,2984
Asia,30/6/2022,3150
Asia,31/1/2023,3163
Asia,30/6/2023,3163
Asia,31/1/2024,3163
Asia,30/6/2024,3163
Asia,31/1/2020,0
Asia,30/6/2020,0
Asia,31/1/2021,0
Asia,30/6/2021,0
Asia,31/1/2022,0
Asia,30/6/2022,0
Asia,31/1/2023,0
Asia,30/6/2023,0
Asia,31/1/2020,0
Asia,30/6/2020,52
Asia,31/1/2021,91
Asia,30/6/2021,91
Asia,31/1/2022,125
Asia,30/6/2022,125
Asia,31/1/2023,125
Asia,30/6/2023,125
Asia,31/1/2024,125
Asia,30/6/2024,125
Asia,31/1/2020,0
Asia,30/6/2020,58
Asia,31/1/2021,77
Asia,30/6/2021,1912
Asia,31/1/2022,22157
Asia,30/6/2022,30592
Asia,31/1/2023,33865
Asia,30/6/2023,34328
Asia,31/1/2024,34547
Asia,30/6/2024,34693
Asia,30/6/2021,0
Asia,31/1/2022,0
Asia,30/6/2022,0
Asia,31/1/2023,0
Asia,30/6/2023,0
Asia,31/1/2020,0
Asia,30/6/2020,5082
Asia,31/1/2021,25865
Asia,30/6/2021,49524
Asia,31/1/2022,86916
Asia,30/6/2022,99055
Asia,31/1/2023,101419
Asia,30/6/2023,101419
Asia,31/1/2024,101419
Asia,30/6/2024,101419
Asia,31/1/2020,0
Asia,30/6/2020,0
Asia,31/1/2021,0
Asia,30/6/2021,0
Asia,31/1/2022,0
Asia,30/6/2022,0
Asia,31/1/2023,0
Asia,30/6/2023,0
Asia,31/1/2024,0
Asia,30/6/2024,0
Europe,31/1/2020,0
Europe,30/6/2020,462
Europe,31/1/2021,20197
Europe,30/6/2021,49740
Europe,31/1/2022,97640
Europe,30/6/2022,106092
Europe,31/1/2023,108499
Europe,30/6/2023,109905
Europe,31/1/2024,109918
Europe,30/6/2024,109920
Asia,31/1/2020,0
Asia,30/6/2020,311
Asia,31/1/2021,838
Asia,30/6/2021,1792
Asia,31/1/2022,2239
Asia,30/6/2022,2311
Asia,31/1/2023,2348
Asia,30/6/2023,2349
Asia,31/1/2024,2349
Asia,30/6/2024,2349
Europe,31/1/2020,0
Europe,30/6/2020,55834
Europe,31/1/2021,129420
Europe,30/6/2021,154424
Europe,31/1/2022,183284
Europe,30/6/2022,200511
Europe,31/1/2023,219292
Europe,30/6/2023,228604
Europe,31/1/2024,232112
Europe,30/6/2024,232112
Asia,31/1/2020,0
Asia,30/6/2020,0
Asia,31/1/2021,0
Asia,30/6/2021,109
Asia,31/1/2022,943
Asia,30/6/2022,1016
Asia,31/1/2023,1016
Asia,30/6/2023,1016
Asia,31/1/2024,1016
Asia,30/6/2024,1016
Europe,31/1/2020,0
Europe,30/6/2020,0
Europe,31/1/2021,0
Europe,30/6/2021,0
Europe,31/1/2022,0
Europe,30/6/2022,0
Europe,31/1/2023,0
Europe,30/6/2023,0
Europe,31/1/2024,0
Europe,30/6/2024,0
Asia,31/1/2020,0
Asia,30/6/2020,0
Asia,31/1/2021,35
Asia,30/6/2021,80
Asia,31/1/2022,37668
Asia,30/6/2022,43084
Asia,31/1/2023,43186
Asia,30/6/2023,43206
Asia,31/1/2024,43206
Asia,30/6/2024,43206
Europe,30/6/2020,0
Europe,31/1/2021,0
Europe,30/6/2021,0
Europe,31/1/2022,0
